Woody plant species,Site,Years decayed,Mesh,Sampling side (top / bottom),Extension rate (mm day-1),Mass loss (%)
Celtis occidentalis,2,3,absent,both,13.19,37.4
Celtis occidentalis,2,3,present,both,1.1,29.8
Celtis occidentalis,6,3,absent,both,0.92,33.0
Celtis occidentalis,6,3,present,both,9.9,45.7
Celtis occidentalis,7,3,absent,bottom,13.54,49.0
Celtis occidentalis,7,3,present,both,15.41,67.4
Fraxinus americana,2,3,absent,bottom,4.64,12.6
Fraxinus americana,2,3,present,both,5.46,14.3
Fraxinus americana,6,3,absent,both,5.9,13.6
Fraxinus americana,6,3,present,bottom,1.03,11.4
Fraxinus americana,7,3,absent,both,13.6,26.0
Fraxinus americana,7,3,present,bottom,10.11,29.6
Juglans nigra,2,3,absent,both,2.33,19.9
Juglans nigra,2,3,present,both,7.9,27.2
Juglans nigra,6,3,absent,bottom,15.96,26.2
Juglans nigra,6,3,present,bottom,7.72,20.2
Juglans nigra,7,3,absent,bottom,16.48,36.6
Juglans nigra,7,3,present,both,15.6,31.5
Juniperus virginiana,2,3,present,bottom,6.83,4.1*
Lonicera maackii,2,3,absent,both,10.84,25.2
Lonicera maackii,2,3,present,top,3.31,21.1
Lonicera maackii,6,3,absent,bottom,15.36,23.2
Lonicera maackii,6,3,present,both,2.49,15.2
Lonicera maackii,7,3,absent,both,15.66,28.2
Lonicera maackii,7,3,present,both,3.29,18.2
Pinus echinata,2,3,absent,bottom,1.26,27.7
Quercus alba,2,3,absent,both,12.08,46.9
Quercus alba,2,3,present,both,6.2,27.3
Quercus alba,6,3,absent,both,13.3,46.2
